,Chart position,Track name,Artist name,Genre,Beats per minute,Energy,Danceability,Valence,Length,Followers,Picture
40,41,Higher love,Kygo,Edm,104,68,69,40,228,6849753,https://i.scdn.co/image/eee84c026e93f6d970fdc82c5010c45219530577
41,42,You need to calm down,Taylor swift,Dance pop,85,68,77,73,171,33421356,https://i.scdn.co/image/a37efbc7fd3f5f5df81b48ce9c6de53820b239c1
42,43,Shallow,Lady gaga,Dance pop,96,39,57,32,216,14394953,https://i.scdn.co/image/1f4c23aa943d8eafc17e9f02e0cb1ffc3ac49d37
43,44,Talk,Khalid,Pop,136,40,90,35,198,12809749,https://i.scdn.co/image/05da6a798c59e8ab7102d77c8deb79d67a1360ed
44,45,Con altura,Rosalía,R&b en espanol,98,69,88,75,162,4203430,https://i.scdn.co/image/5add45e660b6507d66d5bd7cb07942ecdad01e4e
45,46,One thing right,Marshmello,Brostep,88,62,66,44,182,27614655,https://i.scdn.co/image/80537745bb00731ffd638b8a64f208b3f86a7332
46,47,Te robaré,Nicky jam,Latin,176,75,67,80,202,13085694,https://i.scdn.co/image/e2cc83fdb16667b0cc6c011da4747adedc759185
47,48,Happier,Marshmello,Brostep,100,79,69,67,214,27614655,https://i.scdn.co/image/80537745bb00731ffd638b8a64f208b3f86a7332
48,49,Call you mine,The chainsmokers,Edm,104,70,59,50,218,16919076,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
49,50,Cross me (feat. chance the rapper & pnb rock),Ed sheeran,Pop,95,79,75,61,206,71661189,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
